stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5056,,"LANCASTER",,  50.794599,   4.356511,,,0,
5057,,"THEVENET",,  50.794752,   4.352568,,,0,
5058,,"HEROS",,  50.803542,   4.341571,,,0,
5058F,,"HEROS",,  50.803658,   4.341653,,,0,
5059,,"BOETENDAEL",,  50.807578,   4.344131,,,0,
5060,,"MESSIDOR",,  50.810843,   4.346215,,,0,
5062,,"MOLIERE",,  50.816533,   4.349794,,,0,
5063,,"DARWIN",,  50.818961,   4.351340,,,0,
5064,,"MA CAMPAGNE",,  50.822503,   4.353595,,,0,
5066,,"FAIDER",,  50.830054,   4.356105,,,0,
5066F,,"FAIDER",,  50.830045,   4.356076,,,0,
5067,,"STEPHANIE",,  50.832778,   4.356970,,,0,
5068F,,"STEPHANIE",,  50.833556,   4.357177,,,0,
5071,,"SAINCTELETTE",,  50.859349,   4.344522,,,0,
5072,,"RIBAUCOURT",,  50.860418,   4.340473,,,0,
5074,,"VANDERSTICHELEN",,  50.866198,   4.338410,,,0,
5074F,,"VANDERSTICHELEN",,  50.866207,   4.338439,,,0,
5076,,"BELGICA",,  50.867752,   4.335611,,,0,
5076F,,"BELGICA",,  50.867743,   4.335639,,,0,
5077,,"ODON WARLAND",,  50.870880,   4.334657,,,0,
5078F,,"WOESTE",,  50.875200,   4.333587,,,0,
5079,,"DEMINEURS",,  50.877973,   4.332833,,,0,
5080,,"CIM. DE JETTE",,  50.879195,   4.333969,,,0,
5081F,,"GUILL. DE GREEF",,  50.882612,   4.335615,,,0,
5082,,"ERNEST SALU",,  50.884725,   4.338981,,,0,
5086F,,"DE WAND",,  50.895282,   4.355491,,,0,
5086G,,"DE WAND",,  50.895282,   4.355491,,,0,
5087,,"CENTENAIRE",,  50.890867,   4.346055,,,0,
5089,,"JUBILE",,  50.861667,   4.338228,,,0,
5100B,,"WIELS",,  50.824088,   4.326841,,,0,
5101B,,"WIELS",,  50.823845,   4.325919,,,0,
5102,,"AZUR",,  50.866659,   4.287128,,,0,
5102F,,"AZUR",,  50.866650,   4.287285,,,0,
5103,,"HUNDERENVELD",,  50.866952,   4.281744,,,0,
5105,,"VEREMAN",,  50.865359,   4.292486,,,0,
5105F,,"VEREMAN",,  50.865323,   4.292571,,,0,
5107B,,"BERTHELOT",,  50.824125,   4.330971,,,0,
5108,,"BOSSAERT-BASILIQ.",,  50.865427,   4.318808,,,0,
5109,,"BESME",,  50.863488,   4.325287,,,0,
5111B,,"BERTHELOT",,  50.824332,   4.330730,,,0,
5115,,"ROCHEFORT",,  50.824360,   4.335499,,,0,
5115F,,"ROCHEFORT",,  50.824369,   4.335499,,,0,
5116,,"BERTHELOT",,  50.824250,   4.329964,,,0,
5119,,"CHATAIGNES",,  50.817165,   4.325230,,,0,
5120,,"UNION",,  50.819574,   4.325540,,,0,
5121,,"FOREST CENTRE",,  50.811940,   4.319190,,,0,
5121F,,"FOREST CENTRE",,  50.811940,   4.319148,,,0,
5123,,"WIELS",,  50.823683,   4.326075,,,0,
5151,,"UNION",,  50.820671,   4.325908,,,0,
5152,,"SAINT-DENIS",,  50.810537,   4.317971,,,0,
5152G,,"SAINT-DENIS",,  50.810537,   4.317971,,,0,
5155,,"CHATAIGNES",,  50.817372,   4.325386,,,0,
5158,,"BERTHELOT",,  50.824206,   4.331127,,,0,
5159,,"WIELS",,  50.824878,   4.326330,,,0,
5159F,,"WIELS",,  50.824878,   4.326316,,,0,
5161,,"FOREST CENTRE",,  50.811535,   4.318751,,,0,
5161F,,"FOREST CENTRE",,  50.811553,   4.318751,,,0,
5165,,"BESME",,  50.863892,   4.324406,,,0,
5166,,"BOSSAERT-BASILIQ.",,  50.865561,   4.318406,,,0,
5168,,"VEREMAN",,  50.865288,   4.292926,,,0,
